frame,timestamp_sec,occupancy,max_occupancy_so_far
0,0.0,0,0
1,0.033,0,0
2,0.067,0,0
3,0.1,0,0
4,0.133,0,0
5,0.166,0,0
6,0.2,0,0
7,0.233,0,0
8,0.266,0,0
9,0.3,0,0
10,0.333,0,0
11,0.366,0,0
12,0.399,0,0
13,0.433,0,0
14,0.466,0,0
15,0.499,0,0
16,0.532,0,0
17,0.566,0,0
18,0.599,0,0
19,0.632,0,0
20,0.666,0,0
21,0.699,0,0
22,0.732,0,0
23,0.765,0,0
24,0.799,0,0
25,0.832,0,0
26,0.865,0,0
27,0.899,0,0
28,0.932,0,0
29,0.965,0,0
30,0.998,0,0
31,1.032,0,0
32,1.065,0,0
33,1.098,0,0
34,1.132,0,0
35,1.165,0,0
36,1.198,0,0
37,1.231,0,0
38,1.265,0,0
39,1.298,0,0
40,1.331,0,0
41,1.364,0,0
42,1.398,0,0
43,1.431,0,0
44,1.464,0,0
45,1.498,0,0
46,1.531,0,0
47,1.564,0,0
48,1.597,0,0
49,1.631,0,0
50,1.664,0,0
51,1.697,0,0
52,1.731,0,0
53,1.764,0,0
54,1.797,0,0
55,1.83,0,0
56,1.864,0,0
57,1.897,0,0
58,1.93,0,0
59,1.964,0,0
60,1.997,0,0
61,2.03,0,0
62,2.063,0,0
63,2.097,0,0
64,2.13,0,0
65,2.163,0,0
66,2.196,0,0
67,2.23,0,0
68,2.263,0,0
69,2.296,0,0
70,2.33,0,0
71,2.363,0,0
72,2.396,0,0
73,2.429,0,0
74,2.463,0,0
75,2.496,0,0
76,2.529,0,0
77,2.563,0,0
78,2.596,0,0
79,2.629,0,0
80,2.662,0,0
81,2.696,0,0
82,2.729,0,0
83,2.762,0,0
84,2.796,0,0
85,2.829,0,0
86,2.862,0,0
87,2.895,0,0
88,2.929,0,0
89,2.962,0,0
90,2.995,0,0
91,3.028,0,0
92,3.062,0,0
93,3.095,0,0
94,3.128,0,0
95,3.162,0,0
96,3.195,0,0
97,3.228,0,0
98,3.261,0,0
99,3.295,0,0
100,3.328,0,0
101,3.361,0,0
102,3.395,0,0
103,3.428,0,0
104,3.461,0,0
105,3.494,0,0
106,3.528,0,0
107,3.561,0,0
108,3.594,0,0
109,3.628,0,0
110,3.661,0,0
111,3.694,0,0
112,3.727,0,0
113,3.761,0,0
114,3.794,0,0
115,3.827,0,0
116,3.86,0,0
117,3.894,0,0
118,3.927,0,0
119,3.96,1,1
120,3.994,1,1
121,4.027,1,1
122,4.06,1,1
123,4.093,1,1
124,4.127,1,1
125,4.16,1,1
126,4.193,1,1
127,4.227,1,1
128,4.26,1,1
129,4.293,1,1
130,4.326,1,1
131,4.36,1,1
132,4.393,1,1
133,4.426,1,1
134,4.46,1,1
135,4.493,1,1
136,4.526,1,1
137,4.559,1,1
138,4.593,1,1
139,4.626,1,1
140,4.659,1,1
141,4.692,1,1
142,4.726,1,1
143,4.759,1,1
144,4.792,1,1
145,4.826,1,1
146,4.859,1,1
147,4.892,1,1
148,4.925,1,1
149,4.959,1,1
150,4.992,1,1
151,5.025,1,1
152,5.059,1,1
153,5.092,1,1
154,5.125,1,1
155,5.158,1,1
156,5.192,1,1
157,5.225,1,1
